clase,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
hola,0.0,0.0,0.0,-0.2934132191927419,-0.12426732163027705,-0.13558277561558194,-0.5383719755344727,-0.27864140923407427,-0.2311520338888494,-0.7142752636193523,-0.38300269477157817,-0.31655311067481007,-0.8360987848720499,-0.5302014686704285,-0.3882641702114803,-0.3594353039340913,-1.0,-0.15339011936609123,-0.6002246065492257,-0.8412080225316366,-0.31451820231913497,-0.6212565726025641,-0.5030632610393829,-0.4142936048237044,-0.5744995152598095,-0.26425166942928136,-0.4596986136728838,-0.1386483697917591,-0.9861100296855835,-0.15539278489391117,-0.3848203346789687,-0.6882952174594834,-0.3019516026022653,-0.44775543743773255,-0.31418660885758126,-0.35347389865919265,-0.4594623566738964,-0.09589924647074012,-0.36776010831683964,0.06689197337604794,-0.8421927132884,-0.17879481948085713,-0.15786052302687928,-0.48586539614156227,-0.3306220745186603,-0.25059963285050046,-0.15965426091516485,-0.33672684485466114,-0.2797282267997406,0.006948968827059114,-0.3115295219170161,0.24893735606729214,-0.6347843911123602,-0.2107102168356279,0.07443631976990323,-0.39589457471246053,-0.3257787468216163,-0.025583852085614135,-0.16920058248496256,-0.32591233556854565,-0.06546799248027993,-0.041233880170486584,-0.2981055730716828
hola,0.0,0.0,0.0,-0.2705276431498784,-0.13220074906019696,-0.09694022076265657,-0.4987918991600243,-0.3426911275810711,-0.16717930431014028,-0.6386336650478472,-0.5264963452667284,-0.24245397082532943,-0.7060734273749825,-0.7445344196435428,-0.30162839685063564,-0.38627173154164796,-0.9414237012662381,-0.021286818184389395,-0.5380069944358096,-1.0,-0.18310895145543146,-0.5348697288504103,-0.7560160871443986,-0.29988120075458224,-0.5108132053232369,-0.5331635780419811,-0.35006174567950094,-0.20127159967505753,-0.9795537228836644,-0.03371942403196263,-0.34125740445396074,-0.9709461674207214,-0.19495417587063213,-0.37720568608737914,-0.6520437727524209,-0.2703424867523501,-0.39475785381472656,-0.41255462682189636,-0.28265616360732904,-0.01614162993481733,-0.9340385925690423,-0.07191243096553694,-0.1483719402966042,-0.8694268614273414,-0.23852398415979498,-0.21612354537384468,-0.5518895033324571,-0.2515195996681175,-0.25591943328086686,-0.323393393976508,-0.2097964308241064,0.16067929552520144,-0.8296515505047592,-0.11692131493366058,0.05128596009166322,-0.8372412697796263,-0.2241720446920665,-0.030075146567541632,-0.6277519180792573,-0.21281137565605185,-0.08613612631602133,-0.4558013619645166,-0.16748915457055505
hola,0.0,0.0,0.0,-0.22023135613094147,-0.09962396281892137,-0.06703829957674404,-0.3620828809218259,-0.2751964803767529,-0.09134489918021463,-0.45028318244730653,-0.4633868056911985,-0.11517967173359886,-0.5149168345862242,-0.6339922097587336,-0.1335461836323797,-0.2878310817551494,-0.6107158501201244,0.0334177378452431,-0.3497171774160174,-0.7905271577854731,0.0009015419886169444,-0.38167324050325685,-0.8756796168815084,-0.05344408141080346,-0.41017461568096436,-0.9530906161839733,-0.1023936903493286,-0.16319941686147602,-0.6642713097565545,0.029978650260707704,-0.2123525485020789,-0.8568867544106749,-0.003243559678332448,-0.24340055646865322,-0.9457018224478343,-0.07530081147472518,-0.2825220981071389,-1.0,-0.13569423030425373,-0.03984386729919977,-0.6628138632947207,0.011562221382895498,-0.056094695234749845,-0.8517001242927936,-0.037989341745928176,-0.08721327639762418,-0.9431557894311741,-0.10310145903878035,-0.12535838888390188,-0.9520744021420664,-0.14980200966965074,0.09150444661117707,-0.6170720360407117,-0.01329744316650864,0.09406767309775747,-0.7820497774945075,-0.0666261748517146,0.06642996989743295,-0.8783673960629753,-0.11295006853689296,0.023337336479605047,-0.9174919365624936,-0.14590757627545387
hola,0.0,0.0,0.0,-0.18069229837006576,-0.04867596675831944,-0.05933388873273639,-0.3100792796918784,-0.18005424269970852,-0.08722246607017502,-0.3963689787977957,-0.3121642747945143,-0.11024439987126179,-0.4732006658789771,-0.42445107731253945,-0.12986960152450164,-0.2500371893711463,-0.48158446879435285,-0.02343795624600604,-0.31100847614888466,-0.666605076128057,-0.05842401899632716,-0.34127994700504655,-0.7772258266896425,-0.09467250104451773,-0.36498616921908855,-0.8803488653835596,-0.12302486489815408,-0.13688445415763625,-0.5368413009419687,-0.02766737325371139,-0.16899216764355,-0.7523799803181179,-0.04996301875482532,-0.18969152860784905,-0.8845758248451133,-0.08237547294337635,-0.21207813568547043,-1.0,-0.1088762911493802,-0.02727528636214169,-0.5354843968377999,-0.04229755633059144,-0.03691512194329065,-0.7305831444782568,-0.07383934200523772,-0.051810949076735516,-0.8510854714931021,-0.09893087327430797,-0.07472055783020914,-0.9585602442714226,-0.11797042698910584,0.08139910756664068,-0.4902375809212431,-0.06267813845121663,0.10273158420984319,-0.6458801387563922,-0.09430603534785822,0.10255756902701849,-0.7431716768936442,-0.1052304878195232,0.08985238907149594,-0.8355848937929724,-0.11171949526289515
hola,0.0,0.0,0.0,-0.17318971716444975,-0.040201966196441424,-0.05828682804888269,-0.30561186303878524,-0.15943859000634766,-0.084774873847347,-0.40080498982211527,-0.2772676550821033,-0.10641052464340757,-0.48363342599957243,-0.36620846933488227,-0.125770608706758,-0.2422263953199699,-0.4551286014511966,-0.02882457459810122,-0.30878635096338786,-0.6452731967212213,-0.0632296753116716,-0.33895454733807334,-0.7603363560789163,-0.09660877795630812,-0.3566005168333889,-0.8667481484170648,-0.12220616716661355,-0.13364503219849277,-0.5139698664205345,-0.03304120475933021,-0.1650830530793831,-0.7378055153097315,-0.0531767726801631,-0.18452191444709573,-0.8800070847318529,-0.08186716348086615,-0.1998498711583573,-1.0,-0.10623464397493451,-0.029901822191565723,-0.5158619152025071,-0.04735674980513344,-0.03367110489180199,-0.721875063027344,-0.07693194367265996,-0.04313868289260947,-0.8498295740616673,-0.10270535106564366,-0.057987430101529486,-0.959780798689838,-0.12296743663908338,0.07020705238851173,-0.47403456777085073,-0.06735528023666035,0.09971034007813007,-0.6256830330573149,-0.09719751293929853,0.10525828651433027,-0.7213057908881988,-0.10866227391577407,0.09943795194043545,-0.8109773006218209,-0.1164210270616407
hola,0.0,0.0,0.0,-0.1690483368275624,-0.03636382887000595,-0.06310157827465504,-0.3036665582604334,-0.15008864463067934,-0.09299486687241303,-0.3986101014101443,-0.257883834970897,-0.11754548953101365,-0.4828747959513777,-0.3448783348688101,-0.1406825715738335,-0.23426820713211907,-0.4468914858373909,-0.04288941671207148,-0.30081556494122386,-0.63746456468268,-0.08261623389838459,-0.33146581776907413,-0.7534634789987843,-0.11815650865023901,-0.35065558109198797,-0.8624081664948049,-0.14552594078233302,-0.12850459634321404,-0.5059164621470759,-0.04766628992814389,-0.15918675580110467,-0.7304419154108022,-0.07379296418563154,-0.17770662297222992,-0.8741517379169378,-0.10497412527362188,-0.1933699167408651,-1.0,-0.13121206138395758,-0.026999161413638267,-0.5075874824710268,-0.06246885585074699,-0.03122814914503824,-0.7150252183994519,-0.09641999174108433,-0.038213984175169975,-0.8443970884556232,-0.12342746962499657,-0.05213285806285549,-0.9590554235333287,-0.1449249103698776,0.07092157078485875,-0.46554291420278565,-0.08343693537780775,0.10112455847591043,-0.6130654359196829,-0.11697041902523062,0.10900935923045214,-0.7077126623392882,-0.13008828268891584,0.10465975585275619,-0.7971039510852761,-0.1395946431253814
hola,0.0,0.0,0.0,-0.16937624405717314,-0.03545532738650005,-0.06555354048476152,-0.30653547267165066,-0.14801369513122342,-0.09622144822988653,-0.4027416180397817,-0.25431438123737954,-0.12112473292565507,-0.4850243823839983,-0.34646300693981774,-0.14379255854953757,-0.23769166709594763,-0.44601901167621594,-0.043790529682309884,-0.30589439716546396,-0.6374938171904533,-0.08512609512161003,-0.3369284944136971,-0.7550692415602077,-0.12120904681251828,-0.35656528010521255,-0.8641013360381555,-0.14866022897357922,-0.13219014167775847,-0.5064169302642804,-0.04728347922997542,-0.16452385949649656,-0.7307729524129595,-0.07518856561711937,-0.1827832707645119,-0.8748946591014412,-0.10636556957859226,-0.19817337870597612,-1.0,-0.13190713751510846,-0.031415850051336514,-0.5098366678650735,-0.061364855939982935,-0.040578060518916756,-0.715982823558143,-0.09667397422238744,-0.047713802243241614,-0.8443857941419488,-0.12330464202452765,-0.0613886000465306,-0.9581666729731294,-0.14387958415572139,0.06654913615719911,-0.4697136750161728,-0.08192938972276122,0.09616905835537642,-0.6148476853211358,-0.11638488919156852,0.10288352598115286,-0.7094574424201753,-0.13026859677736974,0.09721952293285815,-0.7995969973409399,-0.13996020108314328
hola,0.0,0.0,0.0,-0.16745618376613733,-0.035322678223034136,-0.06679132837100646,-0.30358417657666054,-0.1497560417173737,-0.0990888692223529,-0.4021139097024922,-0.2592846567755145,-0.12544549637100302,-0.4856542754048118,-0.35703375769788104,-0.14921526103654814,-0.23428413154238603,-0.4510146860899545,-0.04442390042834676,-0.3017779462970207,-0.6419126317924255,-0.08549265587451409,-0.33380244631438555,-0.7589487219541587,-0.1211027563148095,-0.35426610068211706,-0.8663941981105042,-0.14834922485448848,-0.12943802341982363,-0.5093664430769486,-0.0476270096512547,-0.1618351173871031,-0.7337148074152342,-0.07577474429576048,-0.1793729016579216,-0.8770845859726596,-0.10666043527317003,-0.1930558320671761,-1.0,-0.13194673020436307,-0.02961142895853917,-0.511296228197287,-0.061505182970469384,-0.03844806544847835,-0.7180091220488866,-0.09679972817074614,-0.04470770097527574,-0.845199147678834,-0.12277728528073767,-0.05702674029744345,-0.958287342681959,-0.14294257507436464,0.06743593192006796,-0.4694645894970811,-0.08198225847383923,0.0968629933314687,-0.6148997133441944,-0.11667669356095577,0.10370717402710032,-0.7102248097834282,-0.13084244541681522,0.09866465015257486,-0.8016017252228954,-0.14069153128964476
hola,0.0,0.0,0.0,-0.1663765405255082,-0.041440902512614806,-0.06492004245036394,-0.29918724190003587,-0.15745882369081324,-0.09766207764106191,-0.3962699129164272,-0.26727998775568124,-0.12495952727008106,-0.48082773766918646,-0.36101019059436823,-0.15014390122998206,-0.22366346072636192,-0.4534527249682781,-0.047358473234021765,-0.2888457371607214,-0.6473531878601181,-0.08977868991473387,-0.3182503943176529,-0.7655183664066655,-0.1258064331287332,-0.3372116536532671,-0.8734633687224822,-0.15320787479437212,-0.11928307284383592,-0.5082984984275168,-0.05211909433737951,-0.14958861918582425,-0.7334248322729832,-0.08279269013852708,-0.16539462276051367,-0.8764532089961445,-0.11519448478581054,-0.17753318992084494,-1.0,-0.14117807814180997,-0.020296301652682924,-0.5069982540984813,-0.06698167140206132,-0.02541953726250016,-0.7145053019414991,-0.1056261277467349,-0.028319274326901876,-0.8411106717497929,-0.13327105707966674,-0.03730658713766327,-0.9538713011775153,-0.153939918711005,0.0758137405893593,-0.4616611201865344,-0.08794495384411125,0.10953177627937626,-0.6045574503349824,-0.12574945767553405,0.11920261589409178,-0.6990798611681749,-0.14116399281657166,0.11668644268957151,-0.7898180086661996,-0.15144132313493683
hola,0.0,0.0,0.0,-0.15302806424827647,-0.07629986746987277,-0.056102779116969925,-0.2692102895338153,-0.2109055721443733,-0.08653125032708141,-0.3537550762622137,-0.32711285329469225,-0.11303668087082447,-0.4255441881871816,-0.4251639409431867,-0.1383765237831502,-0.16849579145457833,-0.4810520971618844,-0.045903738616614106,-0.21365639814804965,-0.6803980271096058,-0.08893307018073277,-0.23190476643734717,-0.7993281388839586,-0.12475447946534443,-0.2406947557375131,-0.9062813373280874,-0.15175749288800916,-0.06219285569109674,-0.5146568410349556,-0.054508249778092016,-0.07561174103825904,-0.7394960635696685,-0.08552834209705569,-0.07836200713434255,-0.879913539069512,-0.11749532126681352,-0.07987865682647736,-1.0,-0.14299084473562024,0.03554811313940747,-0.4953521370832958,-0.07202643295214096,0.04613876525818179,-0.6974850070744324,-0.11028703592222679,0.05551889716121251,-0.8226865038194097,-0.13743331570021222,0.05761281158157658,-0.9338709939311616,-0.1577189340117661,0.126229207131655,-0.4338809322909347,-0.09475654657418879,0.1693581891244669,-0.5685026643202806,-0.13228247204544902,0.1898281307652985,-0.6590139663349961,-0.14704562553459716,0.19969300266683987,-0.74658610342949,-0.1566701571019073
